,Unnamed: 0,mea_ddhr,tem_in,hum_in,tem_coil,tem_out,hum_out,cond,loc,time_period,tem_diff,ran
3363,3363,2017-02-16 22:00,11.71,79.27,5.98,10.55,84.49,1.0,1,2017-02-16 22:00:00,5.73,True
3364,3364,2017-02-16 23:00,11.62,80.31,6.17,10.24,85.62,1.0,1,2017-02-16 23:00:00,5.449999999999998,True
3365,3365,2017-02-17 0:00,11.62,80.71,6.28,10.0,86.63,1.0,1,2017-02-17 00:00:00,5.339999999999999,True
3366,3366,2017-02-17 1:00,11.43,80.46,6.36,9.63,86.75,1.0,1,2017-02-17 01:00:00,5.0699999999999985,True
3367,3367,2017-02-17 2:00,11.16,80.04,6.4,8.87,86.6,1.0,1,2017-02-17 02:00:00,4.76,True
3368,3368,2017-02-17 3:00,11.25,79.3,7.39,8.11,86.36,1.0,1,2017-02-17 03:00:00,3.86,True
3369,3369,2017-02-17 4:00,10.4,73.96,7.47,5.82,85.65,0.0,1,2017-02-17 04:00:00,2.9300000000000006,True
3434,3434,2017-02-19 21:00,8.53,70.05,4.87,5.79,85.13,0.0,1,2017-02-19 21:00:00,3.6599999999999993,True
3435,3435,2017-02-19 22:00,8.69,71.61,5.06,6.15,84.28,0.0,1,2017-02-19 22:00:00,3.63,True
3436,3436,2017-02-19 23:00,8.78,73.75,5.1,5.91,88.19,1.0,1,2017-02-19 23:00:00,3.68,True
3437,3437,2017-02-20 0:00,8.99,78.08,5.22,7.25,89.9,1.0,1,2017-02-20 00:00:00,3.770000000000001,True
3438,3438,2017-02-20 1:00,9.08,81.68,5.41,7.77,90.75,1.0,1,2017-02-20 01:00:00,3.67,True
3439,3439,2017-02-20 2:00,9.69,83.67,5.83,7.47,87.3,1.0,1,2017-02-20 02:00:00,3.86,True
3440,3440,2017-02-20 3:00,9.11,79.24,5.86,5.94,85.65,1.0,1,2017-02-20 03:00:00,3.2499999999999987,True
3441,3441,2017-02-20 4:00,8.38,74.45,5.63,4.75,81.9,0.0,1,2017-02-20 04:00:00,2.7500000000000013,True
4434,4434,2017-04-05 20:00,15.28,77.5,13.61,12.08,92.25,0.0,1,2017-04-05 20:00:00,1.67,True
4435,4435,2017-04-05 21:00,15.25,78.42,13.76,12.44,92.77,0.0,1,2017-04-05 21:00:00,1.4900000000000002,True
4436,4436,2017-04-05 22:00,15.74,83.49,14.03,13.94,90.23,0.0,1,2017-04-05 22:00:00,1.7100000000000009,True
4437,4437,2017-04-05 23:00,15.68,83.58,14.11,13.66,89.07,0.0,1,2017-04-05 23:00:00,1.5700000000000005,True
4438,4438,2017-04-06 0:00,15.4,81.99,13.99,12.9,88.83,0.0,1,2017-04-06 00:00:00,1.41,True
4439,4439,2017-04-06 1:00,15.31,80.46,13.91,12.08,90.69,0.0,1,2017-04-06 01:00:00,1.4000000000000004,True
4440,4440,2017-04-06 2:00,15.16,78.69,13.76,11.43,92.06,0.0,1,2017-04-06 02:00:00,1.4000000000000004,True
6437,6437,2017-07-02 10:00,27.83,78.69,26.47,26.48,82.81,0.0,1,2017-07-02 10:00:00,1.3599999999999994,True
6438,6438,2017-07-02 11:00,28.16,77.93,26.54,27.22,76.53,0.0,1,2017-07-02 11:00:00,1.620000000000001,True
6452,6452,2017-07-03 1:00,27.92,78.72,26.54,25.26,86.6,0.0,1,2017-07-03 01:00:00,1.3800000000000026,True
7685,7685,2017-08-23 10:00,29.96,79.27,28.26,31.37,70.02,0.0,1,2017-08-23 10:00:00,1.6999999999999993,True
7686,7686,2017-08-23 11:00,30.45,78.08,28.41,32.92,65.11,0.0,1,2017-08-23 11:00:00,2.039999999999999,True
7687,7687,2017-08-23 12:00,30.79,75.79,28.61,32.01,68.77,0.0,1,2017-08-23 12:00:00,2.18,True
7688,7688,2017-08-23 13:00,31.21,74.88,28.72,32.77,63.95,0.0,1,2017-08-23 13:00:00,2.490000000000002,True
8346,8346,2017-09-19 23:00,25.6,77.17,23.53,23.92,77.47,0.0,1,2017-09-19 23:00:00,2.0700000000000003,True
8439,8439,2017-09-24 10:00,23.19,78.27,21.16,22.85,78.66,0.0,1,2017-09-24 10:00:00,2.0300000000000007,True
8440,8440,2017-09-24 11:00,23.52,77.59,21.32,23.22,78.75,0.0,1,2017-09-24 11:00:00,2.1999999999999997,True
8441,8441,2017-09-24 12:00,23.68,77.81,21.36,23.98,76.47,0.0,1,2017-09-24 12:00:00,2.3200000000000003,True
8442,8442,2017-09-24 13:00,23.95,78.79,21.36,24.5,72.8,0.0,1,2017-09-24 13:00:00,2.59,True
8443,8443,2017-09-24 14:00,24.32,77.32,21.51,24.93,74.05,0.0,1,2017-09-24 14:00:00,2.8099999999999987,True
8444,8444,2017-09-24 15:00,24.68,77.66,21.51,24.99,76.65,0.0,1,2017-09-24 15:00:00,3.169999999999998,True
8445,8445,2017-09-24 16:00,24.9,77.29,21.66,26.61,64.71,0.0,1,2017-09-24 16:00:00,3.2399999999999984,True
8446,8446,2017-09-24 17:00,25.14,76.37,21.89,24.99,71.64,0.0,1,2017-09-24 17:00:00,3.25,True
8447,8447,2017-09-24 18:00,24.71,78.69,21.93,23.43,79.3,0.0,1,2017-09-24 18:00:00,2.780000000000001,True
8448,8448,2017-09-24 19:00,24.41,79.18,21.89,23.13,79.98,0.0,1,2017-09-24 19:00:00,2.52,True
8449,8449,2017-09-24 20:00,24.1,80.92,21.78,22.39,85.68,0.0,1,2017-09-24 20:00:00,2.3200000000000003,True
8450,8450,2017-09-24 21:00,23.86,81.68,21.74,22.0,86.39,0.0,1,2017-09-24 21:00:00,2.120000000000001,True
8451,8451,2017-09-24 22:00,23.92,81.96,21.74,22.52,86.14,0.0,1,2017-09-24 22:00:00,2.1800000000000037,True
8452,8452,2017-09-24 23:00,23.8,81.04,21.78,21.57,85.13,0.0,1,2017-09-24 23:00:00,2.02,True
8453,8453,2017-09-25 0:00,23.28,80.59,21.7,20.5,89.13,0.0,1,2017-09-25 00:00:00,1.5800000000000018,True
8454,8454,2017-09-25 1:00,23.22,79.4,21.58,20.44,88.19,0.0,1,2017-09-25 01:00:00,1.6400000000000006,True
8455,8455,2017-09-25 2:00,22.94,78.63,21.55,19.83,88.46,0.0,1,2017-09-25 02:00:00,1.3900000000000006,True
8462,8462,2017-09-25 9:00,22.85,79.12,21.51,25.02,68.28,0.0,1,2017-09-25 09:00:00,1.34,True
9487,9487,2017-11-07 23:00,18.52,70.57,14.95,16.84,74.02,0.0,1,2017-11-07 23:00:00,3.5700000000000003,True
9488,9488,2017-11-08 0:00,18.39,72.34,15.17,16.68,76.47,0.0,1,2017-11-08 00:00:00,3.2200000000000006,True
9489,9489,2017-11-08 1:00,18.67,75.31,15.29,17.02,79.43,0.0,1,2017-11-08 01:00:00,3.3800000000000026,True
9490,9490,2017-11-08 2:00,18.85,75.43,15.52,16.56,79.4,0.0,1,2017-11-08 02:00:00,3.330000000000002,True
9491,9491,2017-11-08 3:00,18.7,74.79,15.67,16.59,78.69,0.0,1,2017-11-08 03:00:00,3.03,True
9492,9492,2017-11-08 4:00,18.61,72.77,15.67,16.11,78.14,0.0,1,2017-11-08 04:00:00,2.9399999999999995,True
9493,9493,2017-11-08 5:00,18.46,73.11,15.59,15.77,80.43,0.0,1,2017-11-08 05:00:00,2.870000000000001,True
9631,9631,2017-11-13 23:00,14.52,73.32,11.78,12.87,79.7,0.0,1,2017-11-13 23:00:00,2.74,True
9836,9836,2017-11-22 12:00,10.34,76.25,7.47,13.3,60.01,0.0,1,2017-11-22 12:00:00,2.87,True
9915,9915,2017-11-25 19:00,11.77,68.86,7.7,10.76,70.54,0.0,1,2017-11-25 19:00:00,4.0699999999999985,True
9916,9916,2017-11-25 20:00,11.86,74.11,7.66,10.0,79.37,1.0,1,2017-11-25 20:00:00,4.199999999999998,True
9917,9917,2017-11-25 21:00,11.43,74.42,7.24,8.47,86.08,1.0,1,2017-11-25 21:00:00,4.19,True
9918,9918,2017-11-25 22:00,11.25,75.31,7.47,8.6,85.07,1.0,1,2017-11-25 22:00:00,3.78,True
9919,9919,2017-11-25 23:00,11.19,75.34,7.58,8.14,86.02,1.0,1,2017-11-25 23:00:00,3.61,True
9920,9920,2017-11-26 0:00,11.04,72.95,7.58,7.99,83.24,0.0,1,2017-11-26 00:00:00,3.4599999999999986,True
9921,9921,2017-11-26 1:00,11.01,73.05,7.54,8.32,80.25,0.0,1,2017-11-26 01:00:00,3.47,True
9922,9922,2017-11-26 2:00,10.98,71.46,7.62,8.93,76.47,0.0,1,2017-11-26 02:00:00,3.3600000000000003,True
9996,9996,2017-11-29 4:00,12.14,71.98,9.11,9.08,79.7,0.0,1,2017-11-29 04:00:00,3.030000000000001,True
10099,10099,2017-12-03 11:00,8.96,75.24,6.36,8.29,73.08,0.0,1,2017-12-03 11:00:00,2.6000000000000005,True
10100,10100,2017-12-03 12:00,9.33,76.37,6.4,7.99,78.94,0.0,1,2017-12-03 12:00:00,2.93,True
10101,10101,2017-12-03 13:00,9.79,75.95,6.51,8.14,77.26,1.0,1,2017-12-03 13:00:00,3.28,True
10102,10102,2017-12-03 14:00,10.27,73.87,6.74,8.5,76.89,1.0,1,2017-12-03 14:00:00,3.53,True
10103,10103,2017-12-03 15:00,10.7,71.86,6.89,9.05,76.31,0.0,1,2017-12-03 15:00:00,3.81,True
10104,10104,2017-12-03 16:00,11.1,70.76,7.08,8.6,76.28,0.0,1,2017-12-03 16:00:00,4.02,True
10105,10105,2017-12-03 17:00,11.1,70.21,7.08,8.26,75.37,0.0,1,2017-12-03 17:00:00,4.02,True
10267,10267,2017-12-10 11:00,7.56,75.46,4.83,5.7,87.06,0.0,1,2017-12-10 11:00:00,2.7299999999999995,True
10268,10268,2017-12-10 12:00,7.95,76.01,4.91,7.83,75.03,1.0,1,2017-12-10 12:00:00,3.04,True
10269,10269,2017-12-10 13:00,8.66,73.99,5.29,9.88,63.31,0.0,1,2017-12-10 13:00:00,3.37,True
10579,10579,2017-12-23 11:00,7.22,74.51,4.68,9.69,60.65,0.0,1,2017-12-23 11:00:00,2.54,True
10580,10580,2017-12-23 12:00,8.11,75.98,4.72,8.6,64.07,1.0,1,2017-12-23 12:00:00,3.39,True
10581,10581,2017-12-23 13:00,8.6,74.24,4.91,8.26,68.93,1.0,1,2017-12-23 13:00:00,3.69,True
10582,10582,2017-12-23 14:00,9.15,72.1,5.14,8.47,70.48,1.0,1,2017-12-23 14:00:00,4.010000000000002,True
10583,10583,2017-12-23 15:00,9.57,70.45,5.22,8.84,68.62,1.0,1,2017-12-23 15:00:00,4.3500000000000005,True
10584,10584,2017-12-23 16:00,9.79,67.55,5.41,9.24,65.11,0.0,1,2017-12-23 16:00:00,4.379999999999999,True
10585,10585,2017-12-23 17:00,9.76,67.49,5.48,7.8,72.71,0.0,1,2017-12-23 17:00:00,4.2799999999999985,True
10586,10586,2017-12-23 18:00,9.42,68.59,5.52,5.09,78.45,0.0,1,2017-12-23 18:00:00,3.9,True
10587,10587,2017-12-23 19:00,9.15,69.87,5.48,5.94,83.58,0.0,1,2017-12-23 19:00:00,3.67,True
10603,10603,2017-12-24 11:00,8.14,75.73,5.71,4.69,89.74,0.0,1,2017-12-24 11:00:00,2.4300000000000006,True
10604,10604,2017-12-24 12:00,8.32,76.07,5.79,5.12,90.93,0.0,1,2017-12-24 12:00:00,2.53,True
10605,10605,2017-12-24 13:00,8.5,76.59,5.83,4.69,90.35,0.0,1,2017-12-24 13:00:00,2.67,True
10606,10606,2017-12-24 14:00,8.9,73.99,5.94,5.3,88.74,0.0,1,2017-12-24 14:00:00,2.96,True
10726,10726,2017-12-29 14:00,7.74,68.77,3.57,5.36,72.68,0.0,1,2017-12-29 14:00:00,4.17,True
10727,10727,2017-12-29 15:00,8.11,66.61,3.65,5.48,69.75,0.0,1,2017-12-29 15:00:00,4.459999999999999,True
11121,11121,2018-01-15 3:00,5.67,71.06,1.55,4.81,77.69,1.0,1,2018-01-15 03:00:00,4.12,True
11122,11122,2018-01-15 4:00,5.94,73.69,1.63,5.02,78.02,1.0,1,2018-01-15 04:00:00,4.3100000000000005,True
11123,11123,2018-01-15 5:00,6.21,75.12,1.82,5.05,79.55,1.0,1,2018-01-15 05:00:00,4.39,True
11124,11124,2018-01-15 6:00,6.25,76.28,1.9,5.05,81.2,1.0,1,2018-01-15 06:00:00,4.35,True
11125,11125,2018-01-15 7:00,6.49,77.5,1.97,5.15,82.6,1.0,1,2018-01-15 07:00:00,4.5200000000000005,True
11126,11126,2018-01-15 8:00,6.67,77.11,1.97,4.96,82.33,1.0,1,2018-01-15 08:00:00,4.7,True
11127,11127,2018-01-15 9:00,6.64,76.28,2.01,7.74,72.41,1.0,1,2018-01-15 09:00:00,4.63,True
11128,11128,2018-01-15 10:00,6.95,75.31,2.24,9.82,50.61,1.0,1,2018-01-15 10:00:00,4.71,True
11129,11129,2018-01-15 11:00,7.31,71.21,2.54,7.19,60.84,1.0,1,2018-01-15 11:00:00,4.77,True
11130,11130,2018-01-15 12:00,7.47,69.6,2.54,6.55,65.08,1.0,1,2018-01-15 12:00:00,4.93,True
11131,11131,2018-01-15 13:00,7.89,68.32,2.89,6.28,62.18,1.0,1,2018-01-15 13:00:00,5.0,True
11179,11179,2018-01-17 13:00,7.71,72.41,4.64,5.24,76.13,0.0,1,2018-01-17 13:00:00,3.0700000000000003,True
11750,11750,2018-02-10 8:00,4.54,70.24,1.09,3.25,73.84,0.0,1,2018-02-10 08:00:00,3.45,True
11848,11848,2018-02-14 10:00,7.01,67.09,2.77,9.91,52.96,0.0,1,2018-02-14 10:00:00,4.24,True
11849,11849,2018-02-14 11:00,7.56,68.44,3.04,11.16,50.37,1.0,1,2018-02-14 11:00:00,4.52,True
11850,11850,2018-02-14 12:00,8.2,69.26,3.23,10.73,54.58,1.0,1,2018-02-14 12:00:00,4.969999999999999,True
11851,11851,2018-02-14 13:00,8.47,68.22,3.38,10.21,55.74,1.0,1,2018-02-14 13:00:00,5.090000000000002,True
12279,12279,2018-03-04 9:00,11.01,71.46,7.85,7.16,89.77,0.0,1,2018-03-04 09:00:00,3.16,True
12280,12280,2018-03-04 10:00,11.1,77.9,8.08,9.36,88.64,1.0,1,2018-03-04 10:00:00,3.02,True
12281,12281,2018-03-04 11:00,11.83,78.21,7.96,11.59,77.9,1.0,1,2018-03-04 11:00:00,3.87,True
12282,12282,2018-03-04 12:00,12.32,76.53,8.31,11.68,76.56,1.0,1,2018-03-04 12:00:00,4.01,True
12283,12283,2018-03-04 13:00,12.63,76.86,8.34,12.05,77.44,1.0,1,2018-03-04 13:00:00,4.290000000000001,True
12284,12284,2018-03-04 14:00,13.02,77.5,8.61,12.44,79.37,1.0,1,2018-03-04 14:00:00,4.41,True
12285,12285,2018-03-04 15:00,13.69,78.27,8.99,13.33,76.77,1.0,1,2018-03-04 15:00:00,4.699999999999998,True
12286,12286,2018-03-04 16:00,14.24,76.1,9.18,12.81,76.56,1.0,1,2018-03-04 16:00:00,5.0600000000000005,True
12287,12287,2018-03-04 17:00,14.21,75.03,9.15,14.0,72.41,1.0,1,2018-03-04 17:00:00,5.0600000000000005,True
12288,12288,2018-03-04 18:00,14.18,74.24,9.22,12.53,73.47,1.0,1,2018-03-04 18:00:00,4.959999999999999,True
12289,12289,2018-03-04 19:00,14.15,73.2,9.34,11.92,78.91,1.0,1,2018-03-04 19:00:00,4.8100000000000005,True
12290,12290,2018-03-04 20:00,14.09,74.45,9.49,12.2,80.98,1.0,1,2018-03-04 20:00:00,4.6,True
12291,12291,2018-03-04 21:00,13.97,75.64,9.57,8.57,86.29,1.0,1,2018-03-04 21:00:00,4.4,True
12292,12292,2018-03-04 22:00,13.69,76.37,9.57,10.09,92.37,1.0,1,2018-03-04 22:00:00,4.119999999999999,True
12293,12293,2018-03-04 23:00,13.45,77.38,9.53,9.6,93.35,1.0,1,2018-03-04 23:00:00,3.92,True
12294,12294,2018-03-05 0:00,13.39,77.9,9.49,9.76,92.92,1.0,1,2018-03-05 00:00:00,3.9,True
12295,12295,2018-03-05 1:00,13.21,78.57,9.53,9.18,92.12,1.0,1,2018-03-05 01:00:00,3.6800000000000015,True
12296,12296,2018-03-05 2:00,12.47,77.56,9.53,8.44,91.94,1.0,1,2018-03-05 02:00:00,2.9400000000000013,True
12297,12297,2018-03-05 3:00,12.38,76.1,9.45,7.34,90.26,0.0,1,2018-03-05 03:00:00,2.930000000000001,True
12500,12500,2018-03-13 14:00,14.91,66.12,9.98,16.17,58.18,0.0,1,2018-03-13 14:00:00,4.93,True
12501,12501,2018-03-13 15:00,15.28,67.83,10.18,15.8,64.35,1.0,1,2018-03-13 15:00:00,5.1,True
12502,12502,2018-03-13 16:00,15.62,69.44,10.56,15.68,65.17,1.0,1,2018-03-13 16:00:00,5.059999999999999,True
12503,12503,2018-03-13 17:00,15.49,68.68,10.71,15.16,67.74,1.0,1,2018-03-13 17:00:00,4.7799999999999985,True
12504,12504,2018-03-13 18:00,15.1,71.49,10.67,14.21,73.44,1.0,1,2018-03-13 18:00:00,4.43,True
12505,12505,2018-03-13 19:00,14.98,72.34,10.67,13.75,74.94,1.0,1,2018-03-13 19:00:00,4.3100000000000005,True
12506,12506,2018-03-13 20:00,14.79,72.5,10.63,13.45,76.31,1.0,1,2018-03-13 20:00:00,4.159999999999998,True
12507,12507,2018-03-13 21:00,14.76,72.92,10.86,13.57,76.1,1.0,1,2018-03-13 21:00:00,3.9,True
12508,12508,2018-03-13 22:00,14.64,73.08,10.82,13.51,74.3,1.0,1,2018-03-13 22:00:00,3.82,True
12509,12509,2018-03-13 23:00,14.73,70.33,10.86,14.4,63.34,0.0,1,2018-03-13 23:00:00,3.870000000000001,True
12536,12536,2018-03-15 2:00,17.23,70.51,13.8,14.55,79.46,0.0,1,2018-03-15 02:00:00,3.43,True
12537,12537,2018-03-15 3:00,16.96,72.74,13.91,14.0,86.14,0.0,1,2018-03-15 03:00:00,3.0500000000000007,True
12538,12538,2018-03-15 4:00,16.87,74.73,13.99,13.75,88.52,0.0,1,2018-03-15 04:00:00,2.8800000000000012,True
12539,12539,2018-03-15 5:00,16.62,75.89,13.95,13.42,89.47,0.0,1,2018-03-15 05:00:00,2.6700000000000017,True
12540,12540,2018-03-15 6:00,16.5,76.71,13.84,13.48,89.87,0.0,1,2018-03-15 06:00:00,2.66,True
12541,12541,2018-03-15 7:00,16.44,78.05,13.91,14.12,90.93,0.0,1,2018-03-15 07:00:00,2.5300000000000007,True
12542,12542,2018-03-15 8:00,16.44,79.98,14.03,14.82,87.12,0.0,1,2018-03-15 08:00:00,2.410000000000002,True
12543,12543,2018-03-15 9:00,16.35,80.92,13.95,14.95,86.05,1.0,1,2018-03-15 09:00:00,2.400000000000002,True
12544,12544,2018-03-15 10:00,16.44,80.86,14.03,15.04,85.01,1.0,1,2018-03-15 10:00:00,2.410000000000002,True
12545,12545,2018-03-15 11:00,16.38,81.04,13.95,14.52,88.0,1.0,1,2018-03-15 11:00:00,2.43,True
12546,12546,2018-03-15 12:00,16.23,82.08,13.99,14.52,88.55,1.0,1,2018-03-15 12:00:00,2.24,True
12547,12547,2018-03-15 13:00,16.17,80.71,13.99,14.33,85.81,0.0,1,2018-03-15 13:00:00,2.180000000000001,True
12548,12548,2018-03-15 14:00,16.17,79.91,14.07,11.43,83.82,0.0,1,2018-03-15 14:00:00,2.1000000000000014,True
12918,12918,2018-03-26 12:00,10.61,73.32,7.73,10.79,65.42,0.0,1,2018-03-26 12:00:00,2.879999999999999,True
12919,12919,2018-03-26 12:30,10.98,72.16,7.77,11.43,65.84,0.0,1,2018-03-26 12:00:00,3.2100000000000013,True
12920,12920,2018-03-26 13:00,11.47,70.63,8.0,12.14,64.16,0.0,1,2018-03-26 13:00:00,3.4700000000000006,True
12921,12921,2018-03-26 13:30,11.65,70.05,7.96,11.8,65.6,0.0,1,2018-03-26 13:00:00,3.69,True
12922,12922,2018-03-26 14:00,11.95,69.41,8.12,11.19,68.65,0.0,1,2018-03-26 14:00:00,3.83,True
12923,12923,2018-03-26 14:30,11.98,69.35,8.19,10.64,71.86,0.0,1,2018-03-26 14:00:00,3.7900000000000014,True
12924,12924,2018-03-26 15:00,12.05,69.14,8.19,10.67,72.89,0.0,1,2018-03-26 15:00:00,3.860000000000001,True
12925,12925,2018-03-26 15:30,12.17,69.08,8.27,10.49,72.13,0.0,1,2018-03-26 15:00:00,3.9,True
12964,12964,2018-03-27 11:30,12.29,69.96,8.61,20.1,41.42,0.0,1,2018-03-27 11:00:00,3.68,True
12965,12965,2018-03-27 12:00,12.72,69.72,8.76,21.11,41.24,0.0,1,2018-03-27 12:00:00,3.9600000000000013,True
12966,12966,2018-03-27 12:30,13.27,70.51,8.95,20.01,43.44,1.0,1,2018-03-27 12:00:00,4.32,True
12967,12967,2018-03-27 13:00,13.66,70.33,9.07,20.56,42.98,1.0,1,2018-03-27 13:00:00,4.59,True
12968,12968,2018-03-27 13:30,14.18,68.96,9.18,19.8,44.08,1.0,1,2018-03-27 13:00:00,5.0,True
12969,12969,2018-03-27 14:00,14.4,67.89,9.6,19.43,45.54,0.0,1,2018-03-27 14:00:00,4.800000000000002,True
12970,12970,2018-03-27 14:30,14.76,66.76,9.34,19.22,46.7,1.0,1,2018-03-27 14:00:00,5.42,True
12971,12971,2018-03-27 15:00,14.88,66.42,9.53,18.58,49.54,1.0,1,2018-03-27 15:00:00,5.350000000000001,True
12972,12972,2018-03-27 15:30,14.95,66.48,9.53,18.12,50.73,1.0,1,2018-03-27 15:00:00,5.42,True
12973,12973,2018-03-27 16:00,14.91,66.7,9.68,17.45,52.93,1.0,1,2018-03-27 16:00:00,5.23,True
12974,12974,2018-03-27 16:30,15.01,66.48,9.64,17.05,55.59,1.0,1,2018-03-27 16:00:00,5.369999999999999,True
12975,12975,2018-03-27 17:00,14.98,66.54,9.91,16.01,58.94,0.0,1,2018-03-27 17:00:00,5.07,True
12976,12976,2018-03-27 17:30,14.82,67.43,9.72,15.62,60.44,1.0,1,2018-03-27 17:00:00,5.1,True
12977,12977,2018-03-27 18:00,14.79,67.12,9.76,14.76,63.31,0.0,1,2018-03-27 18:00:00,5.0299999999999985,True
12978,12978,2018-03-27 18:30,14.64,67.4,10.02,14.27,65.32,0.0,1,2018-03-27 18:00:00,4.620000000000001,True
12979,12979,2018-03-27 19:00,14.55,68.01,10.02,13.57,67.58,0.0,1,2018-03-27 19:00:00,4.530000000000001,True
12980,12980,2018-03-27 19:30,14.43,67.95,9.98,13.02,69.87,0.0,1,2018-03-27 19:00:00,4.449999999999998,True
12981,12981,2018-03-27 20:00,14.24,68.38,10.06,12.81,71.18,0.0,1,2018-03-27 20:00:00,4.18,True
12982,12982,2018-03-27 20:30,14.09,68.5,10.14,12.63,71.7,0.0,1,2018-03-27 20:00:00,3.9499999999999993,True
12983,12983,2018-03-27 21:00,14.0,68.93,9.98,12.5,72.01,0.0,1,2018-03-27 21:00:00,4.02,True
12984,12984,2018-03-27 21:30,13.91,68.8,10.06,12.11,72.99,0.0,1,2018-03-27 21:00:00,3.85,True
12988,12988,2018-03-27 23:30,13.27,71.06,10.02,10.95,79.73,0.0,1,2018-03-27 23:00:00,3.25,True
12989,12989,2018-03-28 0:00,13.17,71.79,10.02,11.19,79.27,0.0,1,2018-03-28 00:00:00,3.1500000000000004,True
